id,lesson_number,volume,type,korean,french,grammar_explanation,grammar_form_note,example_sentence,sort_order
1,1,1,vocabulary,대학생,étudiant(e) à l'université,,,,1
2,1,1,vocabulary,학생,étudiant(e) / élève,,,,2
3,1,1,vocabulary,선생님,professeur / enseignant(e),,,,3
4,1,1,vocabulary,회사원,employé(e) de bureau,,,,4
5,1,1,vocabulary,의사,médecin,,,,5
6,1,1,vocabulary,요리사,cuisinier / chef cuisinier,,,,6
7,1,1,vocabulary,경찰,policier,,,,7
8,1,1,vocabulary,가수,chanteur / chanteuse,,,,8
9,1,1,vocabulary,영화배우,acteur / actrice,,,,9
10,1,1,vocabulary,운동선수,sportif / athlète,,,,10
11,1,1,vocabulary,변호사,avocat(e),,,,11
12,1,1,vocabulary,한국,Corée,,,,12
13,1,1,vocabulary,중국,Chine,,,,13
14,1,1,vocabulary,일본,Japon,,,,14
15,1,1,vocabulary,미국,États-Unis,,,,15
16,1,1,vocabulary,호주,Australie,,,,16
17,1,1,vocabulary,영국,Angleterre,,,,17
18,1,1,vocabulary,프랑스,France,,,,18
19,1,1,vocabulary,베트남,Viêtnam,,,,19
20,1,1,vocabulary,브라질,Brésil,,,,20
21,1,1,vocabulary,멕시코,Mexique,,,,21
22,1,1,vocabulary,인도,Inde,,,,22
23,1,1,vocabulary,케냐,Kenya,,,,23
24,1,1,vocabulary,이탈리아,Italie,,,,24
25,1,1,vocabulary,이집트,Égypte,,,,25
26,1,1,vocabulary,카자흐스탄,Kazakhstan,,,,26
27,1,1,vocabulary,이름,nom / prénom,,,,27
28,1,1,vocabulary,국적,nationalité,,,,28
29,1,1,vocabulary,직업,profession / métier,,,,29
30,1,1,expression,안녕하세요?,bonjour,,,,1
31,1,1,expression,저는 ~이에요/예요,je suis ~,,,,2
32,1,1,expression,만나서 반가워요,ravi(e) de vous rencontrer,,,,3
33,1,1,expression,무슨 일 하세요?,que faites-vous dans la vie ?,,,,4
34,1,1,expression,어느 나라 사람이에요?,de quelle nationalité êtes-vous ?,,,,5
35,1,1,expression,어디에서 왔어요?,d'où venez-vous ?,,,,6
36,1,1,grammar,이에요/예요,S'attache à un nom pour former une phrase déclarative ou interrogative (=est/suis/es),S'attache à un nom pour former une phrase déclarative ou interrogative (=est/suis/es),"이에요 après consonne, 예요 après voyelle",저는 학생이에요 (Je suis étudiant) / 마크예요 (C'est Mark),1
37,1,1,grammar,은/는,"Indique le thème ou le sujet de la phrase, peut aussi marquer un contraste","Indique le thème ou le sujet de la phrase, peut aussi marquer un contraste","은 après consonne, 는 après voyelle","저는 한국 사람이에요 (Moi, je suis coréen)",2
38,2,1,vocabulary,식당,restaurant,,,,1
39,2,1,vocabulary,카페,café,,,,2
40,2,1,vocabulary,회사,entreprise / bureau,,,,3
41,2,1,vocabulary,세종학당,Institut du Roi Sejong,,,,4
42,2,1,vocabulary,사무실,bureau / salle de travail,,,,5
43,2,1,vocabulary,화장실,toilettes,,,,6
44,2,1,vocabulary,집,maison / chez soi,,,,7
45,2,1,vocabulary,옷 가게,magasin de vêtements,,,,8
46,2,1,vocabulary,도서관,bibliothèque,,,,9
47,2,1,vocabulary,병원,hôpital,,,,10
48,2,1,vocabulary,마트,supermarché,,,,11
49,2,1,vocabulary,공원,parc,,,,12
50,2,1,vocabulary,놀이공원,parc d'attractions,,,,13
51,2,1,vocabulary,헬스클럽,salle de sport,,,,14
52,2,1,vocabulary,쉬어요,se reposer,,,,15
53,2,1,vocabulary,먹어요,manger,,,,16
54,2,1,vocabulary,운동해요,faire du sport,,,,17
55,2,1,vocabulary,마셔요,boire,,,,18
56,2,1,vocabulary,전화해요,téléphoner,,,,19
57,2,1,vocabulary,자요,dormir,,,,20
58,2,1,vocabulary,가요,aller,,,,21
59,2,1,vocabulary,와요,venir,,,,22
60,2,1,vocabulary,읽어요,lire,,,,23
61,2,1,vocabulary,이야기해요,parler / discuter,,,,24
62,2,1,vocabulary,공부해요,étudier,,,,25
63,2,1,vocabulary,일해요,travailler,,,,26
64,2,1,vocabulary,결혼하다,se marier,,,,27
65,2,1,vocabulary,회의,réunion,,,,28
66,2,1,vocabulary,파티,fête,,,,29
67,2,1,vocabulary,오랜만이에요,cela fait longtemps,,,,30
68,2,1,vocabulary,그래요?,ah bon ?,,,,31
69,2,1,vocabulary,잘 다녀와요,bon voyage / bonne journée,,,,32
70,2,1,expression,지금 어디에 가요?,où allez-vous maintenant ?,,,,1
71,2,1,expression,오늘 뭐 해요?,que faites-vous aujourd'hui ?,,,,2
72,2,1,expression,같이 가요,allons-y ensemble,,,,3
73,2,1,expression,내일 봐요,à demain,,,,4
74,2,1,expression,바쁘다,être occupé(e),,,,5
75,2,1,grammar,-아요/-어요/-여요 (1),Décrit une action ou un état au présent. Terminaison informelle,Décrit une action ou un état au présent. Terminaison informelle,"아요 si voyelle ㅏ/ㅗ, 어요 sinon, 여요 pour 하다 (→해요)",지금 뭐 해요? (Que faites-vous ?) / 밥 먹어요 (Je mange),1
76,2,1,grammar,에 가요,Exprime un mouvement vers une direction ou une destination,Exprime un mouvement vers une direction ou une destination,에 가요 = s'éloigner / 에 와요 = se rapprocher / 에 다녀요 = fréquenter,회사에 가요 (Je vais au bureau) / 세종학당에 다녀요 (Je fréquente l'Institut Sejong),2
77,3,1,vocabulary,일,1 (un),,,,1
78,3,1,vocabulary,이,2 (deux),,,,2
79,3,1,vocabulary,삼,3 (trois),,,,3
80,3,1,vocabulary,사,4 (quatre),,,,4
81,3,1,vocabulary,오,5 (cinq),,,,5
82,3,1,vocabulary,육,6 (six),,,,6
83,3,1,vocabulary,칠,7 (sept),,,,7
84,3,1,vocabulary,팔,8 (huit),,,,8
85,3,1,vocabulary,구,9 (neuf),,,,9
86,3,1,vocabulary,십,10 (dix),,,,10
87,3,1,vocabulary,백,100 (cent),,,,11
88,3,1,vocabulary,천,1000 (mille),,,,12
89,3,1,vocabulary,만,10 000 (dix mille),,,,13
90,3,1,vocabulary,영/공,0 (zéro),,,,14
91,3,1,vocabulary,전화번호,numéro de téléphone,,,,15
92,3,1,vocabulary,아파트,appartement,,,,16
93,3,1,vocabulary,살다,habiter / vivre,,,,17
94,3,1,vocabulary,이사 오다,emménager,,,,18
95,3,1,vocabulary,지난주,la semaine dernière,,,,19
96,3,1,vocabulary,맞아요?,c'est bien ça ?,,,,20
97,3,1,expression,전화번호가 뭐예요?,quel est votre numéro de téléphone ?,,,,1
98,3,1,expression,전화번호가 어떻게 돼요?,quel est votre numéro ?,,,,2
99,3,1,expression,전화번호 좀 가르쳐 주세요,puis-je avoir votre numéro ?,,,,3
100,3,1,expression,그럼 또 봐요,à bientôt alors,,,,4
101,3,1,grammar,이/가,Indique le sujet grammatical de la phrase,Indique le sujet grammatical de la phrase,"이 après consonne, 가 après voyelle. 나+가=내가, 저+가=제가, 누구+가=누가",꽃이 예뻐요 (Les fleurs sont belles) / 마크 씨가 운동해요 (Mark fait du sport),1
102,3,1,grammar,이 아니에요/가 아니에요,Exprime la négation d'un nom (= ce n'est pas ~),Exprime la négation d'un nom (= ce n'est pas ~),"이 아니에요 après consonne, 가 아니에요 après voyelle",여기는 사무실이 아니에요 (Ce n'est pas un bureau) / 커피가 아니에요 (Ce n'est pas du café),2
103,4,1,vocabulary,침대,lit,,,,1
104,4,1,vocabulary,의자,chaise,,,,2
105,4,1,vocabulary,책상,bureau (meuble),,,,3
106,4,1,vocabulary,컴퓨터,ordinateur,,,,4
107,4,1,vocabulary,소파,canapé,,,,5
108,4,1,vocabulary,탁자,table basse,,,,6
109,4,1,vocabulary,티브이,télévision,,,,7
110,4,1,vocabulary,냉장고,réfrigérateur,,,,8
111,4,1,vocabulary,위,sur / au-dessus,,,,9
112,4,1,vocabulary,아래,sous / en-dessous,,,,10
113,4,1,vocabulary,앞,devant,,,,11
114,4,1,vocabulary,뒤,derrière,,,,12
115,4,1,vocabulary,옆,à côté de,,,,13
116,4,1,vocabulary,안,dans / à l'intérieur,,,,14
117,4,1,vocabulary,밖,dehors / à l'extérieur,,,,15
118,4,1,vocabulary,지갑,portefeuille,,,,16
119,4,1,vocabulary,가방,sac,,,,17
120,4,1,vocabulary,핸드폰,téléphone portable,,,,18
121,4,1,vocabulary,책,livre,,,,19
122,4,1,vocabulary,안경,lunettes,,,,20
123,4,1,vocabulary,모자,chapeau / casquette,,,,21
124,4,1,vocabulary,공책,cahier,,,,22
125,4,1,vocabulary,노트북,ordinateur portable,,,,23
126,4,1,vocabulary,지하철역,station de métro,,,,24
127,4,1,vocabulary,혹시,peut-être / au cas où,,,,25
128,4,1,vocabulary,여보세요,allô,,,,26
129,4,1,vocabulary,정말 다행이에요,c'est un soulagement,,,,27
130,4,1,vocabulary,유에스비,clé USB,,,,28
131,4,1,vocabulary,서랍,tiroir,,,,29
132,4,1,expression,~에 있어요/없어요,il y a ~ / il n'y a pas de ~ (à/dans),,,,1
133,4,1,expression,~이/가 어디에 있어요?,où est ~ ?,,,,2
134,4,1,expression,잠깐만요,un instant / attendez,,,,3
135,4,1,expression,혹시 ~이/가 있어요?,est-ce qu'il y a ~ par hasard ?,,,,4
136,4,1,grammar,에 있다/에 없다,Indique l'existence ou l'emplacement d'une personne ou d'un objet,Indique l'existence ou l'emplacement d'une personne ou d'un objet,Pour les supérieurs : 계시다 à la place de 있다,안경이 책상 위에 있어요 (Les lunettes sont sur le bureau),1
137,4,1,grammar,의,Indique la possession ou l'appartenance (= de / apostrophe s),Indique la possession ou l'appartenance (= de / apostrophe s),"Souvent omis à l'oral. 저의→제, 나의→내, 너의→네",로라 씨의 모자가 예뻐요 (Le chapeau de Laura est joli),2
138,5,1,vocabulary,사과,pomme,,,,1
139,5,1,vocabulary,오렌지,orange,,,,2
140,5,1,vocabulary,바나나,banane,,,,3
141,5,1,vocabulary,딸기,fraise,,,,4
142,5,1,vocabulary,포도,raisin,,,,5
143,5,1,vocabulary,수박,pastèque,,,,6
144,5,1,vocabulary,우유,lait,,,,7
145,5,1,vocabulary,주스,jus,,,,8
146,5,1,vocabulary,콜라,coca-cola,,,,9
147,5,1,vocabulary,과자,biscuits / snack,,,,10
148,5,1,vocabulary,빵,pain,,,,11
149,5,1,vocabulary,케이크,gâteau,,,,12
150,5,1,vocabulary,샌드위치,sandwich,,,,13
151,5,1,vocabulary,햄버거,hamburger,,,,14
152,5,1,vocabulary,치약,dentifrice,,,,15
153,5,1,vocabulary,비누,savon,,,,16
154,5,1,vocabulary,수건,serviette,,,,17
155,5,1,vocabulary,하나,un (coréen),,,,18
156,5,1,vocabulary,둘,deux (coréen),,,,19
157,5,1,vocabulary,셋,trois (coréen),,,,20
158,5,1,vocabulary,넷,quatre (coréen),,,,21
159,5,1,vocabulary,다섯,cinq (coréen),,,,22
160,5,1,vocabulary,여섯,six (coréen),,,,23
161,5,1,vocabulary,일곱,sept (coréen),,,,24
162,5,1,vocabulary,여덟,huit (coréen),,,,25
163,5,1,vocabulary,아홉,neuf (coréen),,,,26
164,5,1,vocabulary,열,dix (coréen),,,,27
165,5,1,vocabulary,개,unité (objet),,,,28
166,5,1,vocabulary,명,unité (personne),,,,29
167,5,1,vocabulary,마리,unité (animal),,,,30
168,5,1,vocabulary,잔,unité (verre/tasse),,,,31
169,5,1,vocabulary,병,unité (bouteille),,,,32
170,5,1,vocabulary,권,unité (livre),,,,33
171,5,1,vocabulary,장,unité (feuille),,,,34
172,5,1,vocabulary,봉지,sachet,,,,35
173,5,1,vocabulary,어서 오세요,bienvenue,,,,36
174,5,1,vocabulary,맛있게 드세요,bon appétit (dit par le serveur),,,,37
175,5,1,vocabulary,또 오세요,revenez nous voir,,,,38
176,5,1,vocabulary,특별히,particulièrement / spécialement,,,,39
177,5,1,expression,뭘 드릴까요?,que puis-je vous donner / que désirez-vous ?,,,,1
178,5,1,expression,몇 개 드릴까요?,combien en voulez-vous ?,,,,2
179,5,1,expression,얼마예요?,combien ça coûte ?,,,,3
180,5,1,expression,~하고 ~ 주세요,"donnez-moi ~ et ~, s'il vous plaît",,,,4
181,5,1,expression,여기 있습니다,voilà / c'est ici,,,,5
182,5,1,grammar,하고,"Relie deux noms (= et), indique aussi 'avec'","Relie deux noms (= et), indique aussi 'avec'",S'utilise avec toutes terminaisons. 와/과 plus formel,빵하고 우유를 먹어요 (Je mange du pain et du lait) / 친구하고 가요 (J'y vais avec un ami),1
183,5,1,grammar,"단위 명사 (개, 명, 마리...)",Compteurs utilisés avec les nombres coréens selon la nature de l'objet compté,Compteurs utilisés avec les nombres coréens selon la nature de l'objet compté,"하나→한 개, 둘→두 개, 셋→세 개, 넷→네 개, 스물→스무 개",사과 세 개 주세요 (Donnez-moi 3 pommes) / 학생 다섯 명 (5 étudiants),2
184,6,1,vocabulary,비빔밥,bibimbap (riz aux légumes assortis),,,,1
185,6,1,vocabulary,냉면,naengmyeon (nouilles froides),,,,2
186,6,1,vocabulary,비빔냉면,bibim-naengmyeon (nouilles froides épicées),,,,3
187,6,1,vocabulary,물냉면,mul-naengmyeon (nouilles froides en bouillon),,,,4
188,6,1,vocabulary,김치찌개,kimchi jjigae (ragoût de kimchi),,,,5
189,6,1,vocabulary,된장찌개,doenjang jjigae (ragoût de pâte de soja),,,,6
190,6,1,vocabulary,불고기,bulgogi (boeuf grillé mariné),,,,7
191,6,1,vocabulary,삼계탕,samgyetang (soupe de poulet au ginseng),,,,8
192,6,1,vocabulary,잡채,japchae (nouilles de verre aux légumes),,,,9
193,6,1,vocabulary,김밥,gimbap (rouleau de riz),,,,10
194,6,1,vocabulary,떡볶이,tteokbokki (gâteau de riz épicé),,,,11
195,6,1,vocabulary,스파게티,spaghetti,,,,12
196,6,1,vocabulary,피자,pizza,,,,13
197,6,1,vocabulary,스테이크,steak,,,,14
198,6,1,vocabulary,치킨,poulet frit,,,,15
199,6,1,vocabulary,맛있다,être délicieux,,,,16
200,6,1,vocabulary,맛없다,être mauvais,,,,17
201,6,1,vocabulary,맵다,être épicé,,,,18
202,6,1,vocabulary,달다,être sucré,,,,19
203,6,1,vocabulary,짜다,être salé,,,,20
204,6,1,vocabulary,쓰다,être amer,,,,21
205,6,1,vocabulary,시다,être acide / aigre,,,,22
206,6,1,vocabulary,좋아하다,aimer,,,,23
207,6,1,vocabulary,싫어하다,ne pas aimer / détester,,,,24
208,6,1,vocabulary,소고기,boeuf,,,,25
209,6,1,vocabulary,고기,viande,,,,26
210,6,1,vocabulary,다,tout / tous,,,,27
211,6,1,vocabulary,그런데,mais / cependant,,,,28
212,6,1,vocabulary,별로,pas vraiment / pas tellement,,,,29
213,6,1,vocabulary,인분,portion (pour N personnes),,,,30
214,6,1,expression,무슨 음식을 좋아해요?,quel genre de nourriture aimez-vous ?,,,,1
215,6,1,expression,~를/을 빼 주세요,retirez ~ s'il vous plaît,,,,2
216,6,1,expression,여기요!,excusez-moi ! (appeler le serveur),,,,3
217,6,1,expression,~하나/하나 주세요,"un(e) ~, s'il vous plaît",,,,4
218,6,1,expression,알겠어요,d'accord / j'ai compris,,,,5
219,6,1,grammar,을/를,Indique le complément d'objet direct de la phrase,Indique le complément d'objet direct de la phrase,"을 après consonne, 를 après voyelle. Peut être omis avec 명사+하다",냉면을 좋아해요 (J'aime le naengmyeon) / 친구를 기다려요 (J'attends un ami),1
220,6,1,grammar,"안, -지 않다",Exprime la négation de l'action ou de l'état du sujet,Exprime la négation de l'action ou de l'état du sujet,"안 devant le verbe, -지 않아요 après. Ne s'utilise pas avec 알다/모르다/있다/없다",운동을 안 해요 (Je ne fais pas de sport) / 맵지 않아요 (Ce n'est pas épicé),2
221,7,1,vocabulary,일월,janvier,,,,1
222,7,1,vocabulary,이월,février,,,,2
223,7,1,vocabulary,삼월,mars,,,,3
224,7,1,vocabulary,사월,avril,,,,4
225,7,1,vocabulary,오월,mai,,,,5
226,7,1,vocabulary,유월,juin,,,,6
227,7,1,vocabulary,칠월,juillet,,,,7
228,7,1,vocabulary,팔월,août,,,,8
229,7,1,vocabulary,구월,septembre,,,,9
230,7,1,vocabulary,시월,octobre,,,,10
231,7,1,vocabulary,십일월,novembre,,,,11
232,7,1,vocabulary,십이월,décembre,,,,12
233,7,1,vocabulary,월요일,lundi,,,,13
234,7,1,vocabulary,화요일,mardi,,,,14
235,7,1,vocabulary,수요일,mercredi,,,,15
236,7,1,vocabulary,목요일,jeudi,,,,16
237,7,1,vocabulary,금요일,vendredi,,,,17
238,7,1,vocabulary,토요일,samedi,,,,18
239,7,1,vocabulary,일요일,dimanche,,,,19
240,7,1,vocabulary,오전,matin / avant-midi,,,,20
241,7,1,vocabulary,오후,après-midi,,,,21
242,7,1,vocabulary,아침,matin,,,,22
243,7,1,vocabulary,점심,déjeuner / midi,,,,23
244,7,1,vocabulary,저녁,soir / dîner,,,,24
245,7,1,vocabulary,오늘,aujourd'hui,,,,25
246,7,1,vocabulary,내일,demain,,,,26
247,7,1,vocabulary,어제,hier,,,,27
248,7,1,vocabulary,이번 주,cette semaine,,,,28
249,7,1,vocabulary,다음 주,la semaine prochaine,,,,29
250,7,1,vocabulary,지난주,la semaine dernière,,,,30
251,7,1,vocabulary,이번 달,ce mois-ci,,,,31
252,7,1,vocabulary,생일,anniversaire,,,,32
253,7,1,vocabulary,며칠,quel jour du mois,,,,33
254,7,1,vocabulary,몇 시,quelle heure,,,,34
255,7,1,vocabulary,분,minute,,,,35
256,7,1,vocabulary,시작하다,commencer,,,,36
257,7,1,vocabulary,끝나다,finir / se terminer,,,,37
258,7,1,vocabulary,일찍,tôt,,,,38
259,7,1,vocabulary,빨리,vite / rapidement,,,,39
260,7,1,vocabulary,출발하다,partir / démarrer,,,,40
261,7,1,expression,생일이 언제예요?,quand est votre anniversaire ?,,,,1
262,7,1,expression,오늘은 며칠이에요?,quelle est la date d'aujourd'hui ?,,,,2
263,7,1,expression,몇 시예요?,quelle heure est-il ?,,,,3
264,7,1,expression,~시에 만나요,on se retrouve à ~ heures,,,,4
265,7,1,expression,빨리 오세요,venez vite,,,,5
266,7,1,grammar,에 (temps),S'attache aux noms de temps pour indiquer quand une action se produit,S'attache aux noms de temps pour indiquer quand une action se produit,"Ne s'utilise pas avec : 오늘, 어제, 내일, 그저께, 모레, 매일, 언제",2시에 수업이 끝나요 (Le cours finit à 14h) / 월요일에 만나요 (On se voit lundi),1
267,7,1,grammar,-으세요/-세요,S'attache aux verbes pour formuler une demande ou un ordre poli,S'attache aux verbes pour formuler une demande ou un ordre poli,"-으세요 après consonne (sauf ㄹ), -세요 après voyelle ou ㄹ. 먹다→드세요, 자다→주무세요",잘 들으세요 (Écoutez bien) / 10분 후에 전화하세요 (Appelez dans 10 minutes),2
268,8,1,vocabulary,공원,parc,,,,1
269,8,1,vocabulary,병원,hôpital / clinique,,,,2
270,8,1,vocabulary,시장,marché,,,,3
271,8,1,vocabulary,공연장,salle de spectacle / concert,,,,4
